From-To,Total Post
15:22:8-15:22:10,64
15:22:10-15:22:12,110
15:22:12-15:22:14,30
15:22:14-15:22:16,0
15:22:16-15:22:18,0
15:22:18-15:22:20,0
15:22:20-15:22:22,0
15:22:22-15:22:24,0
15:22:24-15:22:26,0
15:22:26-15:22:28,0
15:22:28-15:22:30,0
15:22:30-15:22:32,0
15:22:32-15:22:34,0
15:22:34-15:22:36,0
15:22:36-15:22:38,0
15:22:38-15:22:40,0
15:22:40-15:22:42,0
15:22:42-15:22:44,0
15:22:44-15:22:46,0
15:22:46-15:22:48,0
15:22:48-15:22:50,0
15:22:50-15:22:52,0
15:22:52-15:22:54,0
15:22:54-15:22:56,0
15:22:56-15:22:58,0
15:22:58-15:23:0,0
15:23:0-15:23:2,0
15:23:2-15:23:4,0
15:23:4-15:23:6,0
15:23:6-15:23:8,0
15:23:8-15:23:10,0
15:23:10-15:23:12,0
15:23:12-15:23:14,0
15:23:14-15:23:16,0
15:23:16-15:23:18,0
15:23:18-15:23:20,0
15:23:20-15:23:22,0
15:23:22-15:23:24,0
15:23:24-15:23:26,0
15:23:26-15:23:28,0
15:23:28-15:23:30,0
15:23:30-15:23:32,0
15:23:32-15:23:34,0
15:23:34-15:23:36,0
15:23:36-15:23:38,0
15:23:38-15:23:40,0
15:23:40-15:23:42,0
15:23:42-15:23:44,0
15:23:44-15:23:46,0
15:23:46-15:23:48,0
15:23:48-15:23:50,0
15:23:50-15:23:52,0
15:23:52-15:23:54,0
15:23:54-15:23:56,39
15:23:56-15:23:58,81
15:23:58-16:0:0,59
16:0:0-16:0:2,82
16:0:2-16:0:4,119
16:0:4-16:0:6,110
16:0:6-16:0:8,80
16:0:8-16:0:10,72
16:0:10-16:0:12,113
16:0:12-16:0:14,114
16:0:14-16:0:16,108
16:0:16-16:0:18,64
16:0:18-16:0:20,0
16:0:20-16:0:22,0
16:0:22-16:0:24,68
16:0:24-16:0:26,149
16:0:26-16:0:28,193
16:0:28-16:0:30,156
16:0:30-16:0:32,157
16:0:32-16:0:34,126
16:0:34-16:0:36,178
16:0:36-16:0:38,157
16:0:38-16:0:40,170
16:0:40-16:0:42,193
16:0:42-16:0:44,199
16:0:44-16:0:46,32
16:0:46-16:0:48,0
16:0:48-16:0:50,40
16:0:50-16:0:52,108
16:0:52-16:0:54,90
16:0:54-16:0:56,78
16:0:56-16:0:58,51
16:0:58-16:1:0,61
16:1:0-16:1:2,60
16:1:2-16:1:4,75
16:1:4-16:1:6,65
16:1:6-16:1:8,61
16:1:8-16:1:10,57
16:1:10-16:1:12,63
16:1:12-16:1:14,58
16:1:14-16:1:16,63
16:1:16-16:1:18,51
16:1:18-16:1:20,59
16:1:20-16:1:22,66
16:1:22-16:1:24,55
16:1:24-16:1:26,55
16:1:26-16:1:28,62
16:1:28-16:1:30,65
16:1:30-16:1:32,78
16:1:32-16:1:34,95
16:1:34-16:1:36,69
16:1:36-16:1:38,44
16:1:38-16:1:40,62
16:1:40-16:1:42,41
16:1:42-16:1:44,63
16:1:44-16:1:46,20
